zipcode,state,description,viewport
7095,NJ,Woodbridge,40.573834:40.5345019:-74.2600059:-74.3129281
7096,NJ,Secaucus,40.7756053802915:40.7729074197085:-74.0619281197085:-74.0646260802915
7097,NJ,Jersey City,40.763334:40.74194:-74.059218:-74.07659
7099,NJ,Kearny,40.7504331:40.7413979:-74.118209:-74.138892
7101,NJ,Newark,40.7318862802915:40.7291883197085:-74.1717272197085:-74.1744251802915
7102,NJ,Newark,40.74895:40.7230539:-74.161958:-74.1843449
7103,NJ,Newark,40.751035:40.726661:-74.1735659:-74.215378
7104,NJ,Newark,40.7888271:40.7474459:-74.147778:-74.1852089
7105,NJ,Newark,40.7429749:40.6978079:-74.1127869:-74.1751759
7106,NJ,Newark,40.751475:40.7305819:-74.2072981:-74.251361
7107,NJ,Newark,40.786215:40.7414791:-74.1733679:-74.2023321
7108,NJ,Newark,40.7317929:40.713114:-74.1830549:-74.21835
7109,NJ,Belleville,40.8117639:40.774661:-74.1384471:-74.1869179
7110,NJ,Nutley,40.837869:40.80555:-74.1306199:-74.183836
7111,NJ,Irvington,40.74327:40.7082901:-74.209375:-74.2562899
7112,NJ,Newark,40.721354:40.699933:-74.1934739:-74.2285711
7114,NJ,Newark,40.7273208:40.671347:-74.117267:-74.212693
7175,NJ,Newark,40.7413489802915:40.7386510197085:-74.1686510197085:-74.1713489802915
7182,NJ,Newark,44.6497991:44.6169641:4.338385:4.2846809
7184,NJ,Newark,40.7413489802915:40.7386510197085:-74.1686510197085:-74.1713489802915
7188,NJ,Newark,40.7413489802915:40.7386510197085:-74.1686510197085:-74.1713489802915
7189,NJ,Newark,40.7913489802915:40.7886510197085:-74.1586510197085:-74.1613489802915
7191,NJ,Newark,40.7413489802915:40.7386510197085:-74.1686510197085:-74.1713489802915
7192,NJ,Newark,40.7413489802915:40.7386510197085:-74.1686510197085:-74.1713489802915
7193,NJ,Newark,40.7413489802915:40.7386510197085:-74.1686510197085:-74.1713489802915
7194,NJ,Newark,44.6977839:44.657938:4.6515009:4.5610039
7195,NJ,Newark,40.7413489802915:40.7386510197085:-74.1686510197085:-74.1713489802915
7198,NJ,Newark,40.7413489802915:40.7386510197085:-74.1686510197085:-74.1713489802915
7199,NJ,Newark,40.7413489802915:40.7386510197085:-74.1686510197085:-74.1713489802915
7201,NJ,Elizabeth,40.6907379:40.6548:-74.1367031:-74.2172631
7202,NJ,Elizabeth,40.667164:40.6250578:-74.187797:-74.2443511
7203,NJ,Roselle,40.663509:40.6372439:-74.2352089:-74.285786
7204,NJ,Roselle Park,40.672773:40.658626:-74.2466519:-74.285376
7205,NJ,Hillside,40.7111899:40.6750479:-74.209042:-74.2493049
7206,NJ,Elizabethport,40.6652131:40.6418589:-74.153041:-74.208022
7207,NJ,Elizabeth,40.6711413802915:40.6684434197085:-74.2145051197085:-74.2172030802915
7208,NJ,Elizabeth,40.690428:40.663187:-74.201889:-74.2542161
7302,NJ,Jersey City,40.7311249:40.7094359:-74.022511:-74.0658999
7303,NJ,Jersey City,40.7131430802915:40.7104451197085:-74.0768390197085:-74.0795369802915
7304,NJ,Jersey City,40.7291309:40.7021689:-74.0528531:-74.101592
7305,NJ,Jersey City,40.718694:40.663954:-74.033981:-74.1107349
7306,NJ,Jersey City,40.752378:40.720452:-74.0470849:-74.0991081
7307,NJ,Jersey City,40.763642:40.736576:-74.038731:-74.0652361
7308,NJ,Jersey City,40.7213209802915:40.7186230197085:-74.0386258197085:-74.0413237802915
7309,NJ,Jersey City,45.1875861:45.09646:4.643775:4.5411289
7310,NJ,Jersey City,40.7378139:40.720573:-74.020405:-74.0521499
7311,NJ,Jersey City,40.7181367802915:40.7154388197085:-74.0360591197085:-74.0387570802915
7395,NJ,Jersey City,40.7313488802915:40.7286509197085:-74.0786510197085:-74.0813489802915
7399,NJ,Jersey City,40.7313488802915:40.7286509197085:-74.0786510197085:-74.0813489802915
7401,NJ,Allendale,41.0487441:41.018464:-74.114553:-74.1556041
7403,NJ,Bloomingdale,41.046277:40.998244:-74.3004248:-74.3631159
7405,NJ,Butler,41.0383889:40.946313:-74.325607:-74.451661
7407,NJ,Elmwood Park,40.924503:40.8868991:-74.1019709:-74.1342929
7410,NJ,Fair Lawn,40.955009:40.9175789:-74.0893191:-74.148171
7416,NJ,Franklin,41.138146:41.0759508:-74.551649:-74.638551
7417,NJ,Franklin Lakes,41.0437778:40.978688:-74.16758:-74.2484699
7418,NJ,Glenwood,41.2691291:41.2095239:-74.464932:-74.508608
7419,NJ,Hamburg,41.199369:41.101214:-74.5109971:-74.633166
7420,NJ,Haskell,41.048715:41.011397:-74.2832969:-74.322637
7421,NJ,Hewitt,41.219676:41.101959:-74.2799529:-74.43509
7422,NJ,Highland Lakes,41.229591:41.1305971:-74.3960599:-74.4802249
7423,NJ,Ho Ho Kus,41.0084949:40.98976:-74.0773069:-74.1198789
7424,NJ,Little Falls,40.907398:40.8596221:-74.174988:-74.254328
7428,NJ,Mc Afee,41.1749030802915:41.1722051197085:-74.5462538197085:-74.5489517802915
7430,NJ,Mahwah,41.137827:41.0220879:-74.1037871:-74.248939
7432,NJ,Midland Park,41.0075929:40.9822585:-74.1280269:-74.1571538
7435,NJ,Newfoundland,41.0950329:40.9917251:-74.3930319:-74.5130819
7436,NJ,Oakland,41.0638201:40.992303:-74.201773:-74.2724838
7438,NJ,Oak Ridge,41.089851:40.978398:-74.4451599:-74.5669869
7439,NJ,Ogdensburg,41.0940961:41.06375:-74.5770041:-74.6156051
7440,NJ,Pequannock,40.9574069:40.9350709:-74.2775549:-74.313796
7442,NJ,Pompton Lakes,41.027009:40.9788:-74.266713:-74.301519
7444,NJ,Pompton Plains,40.988262:40.950832:-74.276892:-74.3362431
7446,NJ,Ramsey,41.077908:41.0405059:-74.1144439:-74.176283
7450,NJ,Ridgewood,41.007582:40.955009:-74.077176:-74.1490879
7451,NJ,Ridgewood,40.9813488802915:40.9786509197085:-74.1186510197085:-74.1213489802915
7452,NJ,Glen Rock,40.9732289:40.9484409:-74.1003129:-74.146429
7456,NJ,Ringwood,41.162994:41.060396:-74.220282:-74.3461951
7457,NJ,Riverdale,41.003175:40.982081:-74.292442:-74.3321731
7458,NJ,Saddle River,41.086896:41.0044751:-74.0719149:-74.1235919
7460,NJ,Stockholm,41.1679491:41.0393209:-74.416899:-74.5710066
7461,NJ,Sussex,41.3363831:41.16111:-74.489036:-74.7491669
7462,NJ,Vernon,41.2531051:41.155786:-74.420202:-74.5619969
7463,NJ,Waldwick,41.0223691:41.0052631:-74.093876:-74.1520839
