zipcode,state,description,viewport
7945,NJ,Mendham,40.830182:40.7411108:-74.5343549:-74.64851
7946,NJ,Millington,40.7058648:40.649347:-74.496104:-74.534605
7950,NJ,Morris Plains,40.876323:40.813782:-74.4438069:-74.5145509
7960,NJ,Morristown,40.8391739:40.7212151:-74.4013721:-74.5833367
7961,NJ,Convent Station,40.7979531802915:40.7952552197085:-74.4802269197085:-74.4829248802915
7962,NJ,Morristown,40.7983010802915:40.7956031197085:-74.4783157197085:-74.4810136802915
7963,NJ,Morristown,40.7983010802915:40.7956031197085:-74.4783157197085:-74.4810136802915
7970,NJ,Mount Freedom,40.8277265802915:40.8250286197085:-74.5818237197085:-74.5845216802915
7974,NJ,New Providence,40.7182679:40.6781809:-74.3808909:-74.4289551
7976,NJ,New Vernon,40.746452:40.708773:-74.457186:-74.5018889
7977,NJ,Peapack,40.719547:40.713192:-74.6568684:-74.664996
7978,NJ,Pluckemin,40.6468191802915:40.6441212197085:-74.6377311197085:-74.6404290802915
7979,NJ,Pottersville,40.719482:40.7158719:-74.7221379:-74.7257669
7980,NJ,Stirling,40.7056531:40.658831:-74.477389:-74.511844
7981,NJ,Whippany,40.8447:40.8003849:-74.3839588:-74.4571219
7999,NJ,Whippany,40.8253805802915:40.8226826197085:-74.4357903197085:-74.4384882802915
8001,NJ,Alloway,39.565532:39.534517:-75.3300151:-75.3757849
8002,NJ,Cherry Hill,39.9541879:39.9033379:-74.982503:-75.064199
8003,NJ,Cherry Hill,39.920704:39.8593501:-74.926935:-75.0208001
8004,NJ,Atco,39.7903679:39.7130329:-74.759371:-74.9238471
8005,NJ,Barnegat,39.854782:39.667142:-74.158585:-74.4554699
8006,NJ,Barnegat Light,39.812069:39.7377211:-74.0943569:-74.117525
8007,NJ,Barrington,39.8757059:39.852177:-75.0407889:-75.0673909
8008,NJ,Beach Haven,39.802388:39.448972:-74.09774:-74.3583189
8009,NJ,Berlin,39.8091748:39.7104059:-74.881366:-74.9858409
8010,NJ,Beverly,40.0733248:40.023906:-74.8889769:-74.9386164
8011,NJ,Birmingham,39.9781311802915:39.9754332197085:-74.7088099197085:-74.7115078802915
8012,NJ,Blackwood,39.8458149:39.7248249:-75.008019:-75.0928191
8014,NJ,Bridgeport,39.8443679:39.7710249:-75.324563:-75.3984169
8015,NJ,Browns Mills,40.027237:39.8334889:-74.409505:-74.6377738
8016,NJ,Burlington,40.1203429:40.0247039:-74.7654329:-74.898776
8018,NJ,Cedar Brook,39.7228199802915:39.7201220197085:-74.9003368197085:-74.9030347802915
8019,NJ,Chatsworth,39.882253:39.635354:-74.4255589:-74.619182
8020,NJ,Clarksboro,39.825505:39.7724599:-75.1971351:-75.2499051
8021,NJ,Clementon,39.836523:39.7715279:-74.9527101:-75.0548768
8022,NJ,Columbus,40.1179711:39.9943448:-74.638016:-74.772249
8023,NJ,Deepwater,39.686266:39.6792669:-75.4857549:-75.493235
8025,NJ,Ewan,39.7004168802915:39.6977189197085:-75.1873579197085:-75.1900558802915
8026,NJ,Gibbsboro,39.8457011:39.8176109:-74.947361:-74.986745
8027,NJ,Gibbstown,39.8518289:39.792795:-75.238809:-75.3458121
8028,NJ,Glassboro,39.73739:39.6533601:-75.0719149:-75.1768899
8029,NJ,Glendora,39.850513:39.8314211:-75.0495399:-75.0870191
8030,NJ,Gloucester City,39.908384:39.87261:-75.09491:-75.1456258
8031,NJ,Bellmawr,39.881056:39.8533088:-75.0604681:-75.1244019
8032,NJ,Grenloch,39.786006:39.7732067:-75.0510219:-75.0676362
8033,NJ,Haddonfield,39.917284:39.8726069:-75.0172469:-75.062879
8034,NJ,Cherry Hill,39.9403851:39.8741939:-74.9660301:-75.027208
8035,NJ,Haddon Heights,39.889879:39.8705328:-75.0460339:-75.0854941
8036,NJ,Hainesport,40.008452:39.942525:-74.787386:-74.865323
8037,NJ,Hammonton,39.7306911:39.539403:-74.5883448:-74.9300521
8038,NJ,Hancocks Bridge,39.5115118:39.464181:-75.4516969:-75.512743
8039,NJ,Harrisonville,39.6966309:39.6848699:-75.258482:-75.266223
8041,NJ,Jobstown,40.0663391:40.008693:-74.632174:-74.731206
8042,NJ,Juliustown,40.0159:40.006684:-74.6580428:-74.6700148
8043,NJ,Voorhees,39.8748469:39.809486:-74.9086069:-75.0184739
8045,NJ,Lawnside,39.8789239:39.857724:-75.0118261:-75.04704
8046,NJ,Willingboro,40.057047:39.9971509:-74.8517619:-74.9284749
8048,NJ,Lumberton,39.987747:39.9311031:-74.7487358:-74.862526
8049,NJ,Magnolia,39.8630039:39.844414:-75.018863:-75.0534239
8050,NJ,Manahawkin,39.759311:39.6453161:-74.17635:-74.3505481
8051,NJ,Mantua,39.819152:39.764237:-75.15633:-75.198708
8052,NJ,Maple Shade,39.9734829:39.9269399:-74.9667429:-75.0192121
8053,NJ,Marlton,39.9198279:39.7816311:-74.857972:-74.956034
8054,NJ,Mount Laurel,40.000208:39.9131919:-74.8485501:-74.983717
8055,NJ,Medford,39.9360579:39.774471:-74.754367:-74.8631171
8056,NJ,Mickleton,39.817201:39.756245:-75.2126871:-75.289916
8057,NJ,Moorestown,40.0153441:39.9371749:-74.88078:-75.0042821
8059,NJ,Mount Ephraim,39.901734:39.8720361:-75.080112:-75.108315
8060,NJ,Mount Holly,40.04418:39.9745348:-74.70975:-74.8724239
8061,NJ,Mount Royal,39.8213499:39.788031:-75.186478:-75.227403
8062,NJ,Mullica Hill,39.7726309:39.661355:-75.1495249:-75.286109
8063,NJ,National Park,39.8806599:39.8569198:-75.1689931:-75.199857
8064,NJ,New Lisbon,39.959595:39.9563069:-74.6259759:-74.628872
8065,NJ,Palmyra,40.016194:39.991529:-75.010229:-75.059913
8066,NJ,Paulsboro,39.85856:39.812208:-75.17867:-75.2833039
8067,NJ,Pedricktown,39.7959329:39.681624:-75.3610609:-75.466235
8068,NJ,Pemberton,40.011251:39.908186:-74.5916088:-74.7345469
8069,NJ,Penns Grove,39.7540739:39.659513:-75.3893669:-75.5045379
8070,NJ,Pennsville,39.698305:39.566916:-75.462867:-75.5597921
8071,NJ,Pitman,39.749441:39.714821:-75.109271:-75.1567319
8072,NJ,Quinton,39.5472789802915:39.5445810197085:-75.4111975197085:-75.4138954802915
8073,NJ,Rancocas,40.0118664802915:40.0091685197085:-74.8666670197085:-74.8693649802915
8074,NJ,Richwood,39.730066:39.71995:-75.153105:-75.1662931
8075,NJ,Riverside,40.068785:39.9918119:-74.9057331:-74.9901951
8076,NJ,Riverton,40.0113489802915:40.0086510197085:-75.0186510197085:-75.0213489802915
8077,NJ,Riverton,40.0374989:39.967462:-74.958302:-75.0305828
8078,NJ,Runnemede,39.861683:39.840559:-75.0482679:-75.0994098
8079,NJ,Salem,39.6773039:39.4707381:-75.3410439:-75.5333639
8080,NJ,Sewell,39.810379:39.7087159:-75.0238739:-75.2276961
8081,NJ,Sicklerville,39.789668:39.691091:-74.892901:-75.048191
8083,NJ,Somerdale,39.8593501:39.829425:-75.0017868:-75.0583361
8084,NJ,Stratford,39.841619:39.818835:-74.993797:-75.0389419
8085,NJ,Swedesboro,39.8419149:39.6797241:-75.2647339:-75.450688
8086,NJ,Thorofare,39.882649:39.8013901:-75.159384:-75.2286341
8087,NJ,Tuckerton,39.7124459:39.5052868:-74.253842:-74.4969748
8088,NJ,Vincentown,39.982245:39.716505:-74.5028239:-74.82584
8089,NJ,Waterford Works,39.7513689:39.6875:-74.739221:-74.895905
8090,NJ,Wenonah,39.8129068:39.7807339:-75.12899:-75.1720771
8091,NJ,West Berlin,39.8206798:39.78376:-74.902546:-74.956989
8092,NJ,West Creek,39.702005:39.588871:-74.2177421:-74.335971
8093,NJ,Westville,39.884502:39.8376481:-75.1081771:-75.1685178
8094,NJ,Williamstown,39.726408:39.5559631:-74.8555:-75.091687
8095,NJ,Winslow,39.6582213802915:39.6555234197085:-74.8616154197085:-74.8643133802915
8096,NJ,West Deptford,39.8649819:39.7921899:-75.0751241:-75.1850961
8097,NJ,Woodbury Heights,39.83049:39.80046:-75.135692:-75.1657199
8098,NJ,Woodstown,39.713541:39.5564881:-75.230552:-75.426158
8099,NJ,Bellmawr,39.8713489802915:39.8686510197085:-75.0986510197085:-75.1013489802915
8101,NJ,Camden,39.9113475802915:39.9086496197085:-75.0968352197085:-75.0995331802915
8102,NJ,Camden,39.9711128:39.943188:-75.089305:-75.1344318
8103,NJ,Camden,39.9527409:39.9211508:-75.083197:-75.1362679
8104,NJ,Camden,39.9321089:39.899133:-75.0933841:-75.1348959
8105,NJ,Camden,39.975009:39.936154:-75.0670879:-75.1238209
8106,NJ,Audubon,39.9014249:39.880952:-75.0514731:-75.0945748
8107,NJ,Oaklyn,39.922534:39.8945718:-75.0606789:-75.101982
8108,NJ,Collingswood,39.9277851:39.897952:-75.037615:-75.088216
8109,NJ,Merchantville,39.976307:39.9246309:-75.0131141:-75.1076168
8110,NJ,Pennsauken,39.996451:39.933487:-75.01249:-75.088162
8201,NJ,Absecon,39.449193:39.3858848:-74.435234:-74.5380588
8202,NJ,Avalon,39.126929:39.060097:-74.695464:-74.7686491
8203,NJ,Brigantine,39.4577168:39.3655221:-74.320239:-74.4548309
8204,NJ,Cape May,39.0466288:38.9243699:-74.850748:-74.977156
8205,NJ,Absecon,39.545288:39.401624:-74.3298899:-74.5776449
8210,NJ,Cape May Court House,39.2041369:39.0083319:-74.708946:-74.924135
8212,NJ,Cape May Point,38.9423949:38.929257:-74.9595181:-74.977156
8213,NJ,Cologne,39.5005890302915:39.4978910697085:-74.6031508697085:-74.6058488302915
8214,NJ,Dennisville,39.1939093802915:39.1912114197085:-74.8194669197085:-74.8221648802915
8215,NJ,Egg Harbor City,39.7277799:39.442529:-74.4218269:-74.7364731
8217,NJ,Elwood,39.577629:39.574647:-74.715408:-74.7198669
8218,NJ,Goshen,39.1413969:39.1359519:-74.848876:-74.8542769
8219,NJ,Green Creek,39.0473003802915:39.0446024197085:-74.9001249197085:-74.9028228802915
8220,NJ,Leeds Point,39.4920716802915:39.4893737197085:-74.4346811197085:-74.4373790802915
8221,NJ,Linwood,39.368245:39.314071:-74.5263459:-74.5961279
8223,NJ,Marmora,39.309263:39.2172178:-74.5987969:-74.7172158
8224,NJ,New Gretna,39.5941001:39.576906:-74.4410679:-74.4600798
8225,NJ,Northfield,39.391263:39.3356459:-74.4932229:-74.580563
8226,NJ,Ocean City,39.3064139:39.204635:-74.5467539:-74.668404
8230,NJ,Ocean View,39.261834:39.138096:-74.648067:-74.773122
8231,NJ,Oceanville,39.4725073802915:39.4698094197085:-74.4594714197085:-74.4621693802915
8232,NJ,Pleasantville,39.414679:39.364795:-74.4768519:-74.5504638
8234,NJ,Egg Harbor Township,39.4608919:39.2928469:-74.521104:-74.740607
8240,NJ,Pomona,39.4989501:39.473331:-74.5166659:-74.5788839
8241,NJ,Port Republic,39.567858:39.498157:-74.4222558:-74.5189989
8242,NJ,Rio Grande,39.036598:38.999527:-74.840947:-74.925365
8243,NJ,Sea Isle City,39.201778:39.117486:-74.658276:-74.7200671
8244,NJ,Somers Point,39.337404:39.2881378:-74.5383031:-74.6343209
8245,NJ,South Dennis,39.1791458802915:39.1764479197085:-74.8183991197085:-74.8210970802915
8246,NJ,South Seaville,39.1805548802915:39.1778569197085:-74.7593143197085:-74.7620122802915
8247,NJ,Stone Harbor,39.088748:39.0138669:-74.7426069:-74.799993
8248,NJ,Strathmere,39.2162429:39.1876649:-74.6421189:-74.6797299
8250,NJ,Tuckahoe,39.2921100802915:39.2894121197085:-74.7528006197085:-74.7554985802915
8251,NJ,Villas,39.065953:38.994518:-74.9011021:-74.961923
8252,NJ,Whitesboro,39.0405733802915:39.0378754197085:-74.8577269:-74.860511
8260,NJ,Wildwood,39.031255:38.936191:-74.7792369:-74.88587
8270,NJ,Woodbine,39.3727961:39.1620399:-74.6706839:-74.9275161
8302,NJ,Bridgeton,39.5619569:39.303567:-75.102822:-75.416556
8310,NJ,Buena,39.570372:39.4950659:-74.8523461:-74.9492699
8311,NJ,Cedarville,39.372962:39.283284:-75.1124841:-75.3130989
8312,NJ,Clayton,39.681126:39.634955:-75.064958:-75.1207299
8313,NJ,Deerfield Street,39.5247403802915:39.5220424197085:-75.2348345197085:-75.2375324802915
8314,NJ,Delmont,39.2898461:39.1754889:-74.902311:-75.0050941
8315,NJ,Dividing Creek,39.2775041:39.2739999:-75.0967330697085:-75.0994310302915
8316,NJ,Dorchester,39.2754871:39.2616309:-74.969368:-74.9877631
8317,NJ,Dorothy,39.427074:39.379359:-74.7838808:-74.8752861
8318,NJ,Elmer,39.6250378:39.457372:-75.062302:-75.3259339
8319,NJ,Estell Manor,39.404965:39.3108229:-74.7562599:-74.8827539
8320,NJ,Fairton,39.3918439:39.3833939:-75.214411:-75.2220009
8321,NJ,Fortescue,39.2562189:39.179392:-75.1017968:-75.1774319
8322,NJ,Franklinville,39.6698358:39.5759879:-74.9595049:-75.109779
8323,NJ,Greenwich,39.4327789:39.344798:-75.309247:-75.443238
8324,NJ,Heislerville,39.2477359:39.1910789:-74.968177:-75.0308199
8326,NJ,Landisville,39.5655469:39.5138559:-74.893983:-74.9560219
8327,NJ,Leesburg,39.267192:39.2210289:-74.94859:-75.0367969
8328,NJ,Malaga,39.5987329:39.560461:-75.0392799:-75.076356
8329,NJ,Mauricetown,39.2899549:39.270431:-74.9836649:-75.006199
8330,NJ,Mays Landing,39.580953:39.3554198:-74.5914349:-74.8683661
8332,NJ,Millville,39.474028:39.2404259:-74.8518551:-75.178533
8340,NJ,Milmay,39.4768059:39.416511:-74.8441381:-74.896626
8341,NJ,Minotola,39.533934:39.51152:-74.9365069:-74.9739641
8342,NJ,Mizpah,39.4843079:39.4793979:-74.8365658:-74.8400718
8343,NJ,Monroeville,39.6975721:39.5938409:-75.088436:-75.2681049
8344,NJ,Newfield,39.6103309:39.5220191:-74.900587:-75.117723
8345,NJ,Newport,39.336663:39.241077:-75.0769051:-75.244155
8346,NJ,Newtonville,39.584557:39.5547229:-74.8329069:-74.8740009
8347,NJ,Norma,39.508956:39.503922:-75.0856149:-75.090076
8348,NJ,Port Elizabeth,39.331114:39.3004259:-74.914219:-74.979067
8349,NJ,Port Norris,39.321975:39.193315:-74.980465:-75.1834109
8350,NJ,Richland,39.5157989:39.4709429:-74.851667:-74.9084769
8352,NJ,Rosenhayn,39.474822:39.4697321:-75.126091:-75.1297171
8353,NJ,Shiloh,39.4660571:39.4528261:-75.279931:-75.311317
8360,NJ,Vineland,39.558167:39.4232439:-74.867851:-75.083891
8361,NJ,Vineland,39.513413:39.387454:-74.8902229:-75.024903
8362,NJ,Vineland,39.4713489802915:39.4686510197085:-74.9786510197085:-74.9813489802915
8401,NJ,Atlantic City,39.4065201:39.335544:-74.404054:-74.5055469
8402,NJ,Margate City,39.350136:39.3093469:-74.4850851:-74.5368809
8403,NJ,Longport,39.3381799:39.2988229:-74.515843:-74.5578061
8404,NJ,Atlantic City,39.3613489802915:39.3586510197085:-74.4286510197085:-74.4313489802915
8405,NJ,Atlantic City,39.3613489802915:39.3586510197085:-74.4186510197085:-74.4213489802915
8406,NJ,Ventnor City,39.3649878:39.3229709:-74.458641:-74.5064309
8501,NJ,Allentown,40.2194509:40.07913:-74.4717739:-74.6203038
8502,NJ,Belle Mead,40.471637:40.414492:-74.588155:-74.7158158
8504,NJ,Blawenburg,40.4086688802915:40.4059709197085:-74.7006871197085:-74.7033850802915
8505,NJ,Bordentown,40.179595:40.021608:-74.6702449:-74.800492
8510,NJ,Millstone Township,40.2245039:40.1359239:-74.353526:-74.479332
8511,NJ,Cookstown,40.0634188:40.0291759:-74.53005:-74.582694
8512,NJ,Cranbury,40.3621849:40.273778:-74.4760659:-74.5887281
8514,NJ,Cream Ridge,40.18882:40.0752109:-74.424594:-74.560149
8515,NJ,Chesterfield,40.1681168:40.056232:-74.5993538:-74.6989319
8518,NJ,Florence,40.127705:40.09317:-74.7680539:-74.8287358
8520,NJ,Hightstown,40.301096:40.212655:-74.481202:-74.5947299
8525,NJ,Hopewell,40.4511169:40.349284:-74.722161:-74.8472781
8526,NJ,Imlaystown,40.1713489802915:40.1686510197085:-74.5086510197085:-74.5113489802915
8527,NJ,Jackson,40.178098:40.0154549:-74.241539:-74.4579609
8528,NJ,Kingston,40.3994719:40.3743969:-74.6052211:-74.633102
8530,NJ,Lambertville,40.4211256:40.323882:-74.8233829:-74.9644049
8533,NJ,New Egypt,40.129585:39.9894819:-74.4287829:-74.5531051
8534,NJ,Pennington,40.377854:40.2842179:-74.737605:-74.858356
8535,NJ,Millstone Township,40.2737909:40.2019469:-74.3614139:-74.5431609
8536,NJ,Plainsboro,40.363461:40.3113729:-74.5453519:-74.6278848
8540,NJ,Princeton,40.460841:40.2901479:-74.5716328:-74.7567689
8541,NJ,Princeton,40.3494619802915:40.3467640197085:-74.6586852197085:-74.6613831802915
8542,NJ,Princeton,40.3627119:40.347974:-74.6498989:-74.669899
8543,NJ,Princeton,40.3494810802915:40.3467831197085:-74.6587222197085:-74.6614201802915
8544,NJ,Princeton,40.350418:40.344057:-74.6531961:-74.659221
8550,NJ,Princeton Junction,40.331505:40.242016:-74.5670788:-74.682987
8551,NJ,Ringoes,40.488239:40.3932409:-74.76247:-74.906993
8553,NJ,Rocky Hill,40.4071489:40.3938289:-74.629139:-74.649701
8554,NJ,Roebling,40.1250039:40.1045029:-74.761196:-74.7958169
8555,NJ,Roosevelt,40.235864:40.207333:-74.4553309:-74.485025
8556,NJ,Rosemont,40.4403219:40.41401:-74.9654371:-74.991165
8557,NJ,Sergeantsville,40.4473642802915:40.4446663197085:-74.9412452197085:-74.9439431802915
8558,NJ,Skillman,40.446847:40.375155:-74.6315251:-74.757571
8559,NJ,Stockton,40.4844359:40.380538:-74.872817:-75.0706779
8560,NJ,Titusville,40.3476941:40.2774068:-74.8041991:-74.9236059
8561,NJ,Windsor,40.2414906802915:40.2387927197085:-74.5818414197085:-74.5845393802915
8562,NJ,Wrightstown,40.1128519:40.03:-74.540585:-74.645406
8601,NJ,Trenton,40.2213489802915:40.2186510197085:-74.7386510197085:-74.7413489802915
8602,NJ,Trenton,40.2213489802915:40.2186510197085:-74.7386510197085:-74.7413489802915
8603,NJ,Trenton,40.2213489802915:40.2186510197085:-74.7386510197085:-74.7413489802915
8604,NJ,Trenton,40.2213489802915:40.2186510197085:-74.7386510197085:-74.7413489802915
8605,NJ,Trenton,40.2213489802915:40.2186510197085:-74.7386510197085:-74.7413489802915
8606,NJ,Trenton,40.2213489802915:40.2186510197085:-74.7386510197085:-74.7413489802915
8607,NJ,Trenton,40.2213489802915:40.2186510197085:-74.7386510197085:-74.7413489802915
8608,NJ,Trenton,40.22614:40.212905:-74.7553079:-74.7749268
8609,NJ,Trenton,40.2376629:40.2135279:-74.7188861:-74.759435
8610,NJ,Trenton,40.223088:40.175044:-74.670079:-74.752841
8611,NJ,Trenton,40.221984:40.1469948:-74.714247:-74.778302
8618,NJ,Trenton,40.2922079:40.2197139:-74.7532:-74.819507
8619,NJ,Trenton,40.2709029:40.204821:-74.660287:-74.736454
8620,NJ,Trenton,40.1938719:40.136843:-74.596593:-74.7061728
8625,NJ,Trenton,40.2220518802915:40.2193539197085:-74.7594840197085:-74.7621819802915
8628,NJ,Trenton,40.2907751:40.2415499:-74.780667:-74.8565078
8629,NJ,Trenton,40.2298759:40.2099649:-74.7200699:-74.742936
8638,NJ,Trenton,40.289518:40.2249079:-74.73151:-74.7908959
8640,NJ,Fort Dix,40.0355858:39.986567:-74.5697609:-74.672958
8641,NJ,Trenton,40.0586149:39.9926139:-74.5460119:-74.6169071
8644,NJ,Trenton,50.099105:50.0866639:30.2143198:30.195117
8645,NJ,Trenton,40.2213489802915:40.2186510197085:-74.7386510197085:-74.7413489802915
8646,NJ,Trenton,40.2213489802915:40.2186510197085:-74.7386510197085:-74.7413489802915
8647,NJ,Trenton,40.2213489802915:40.2186510197085:-74.7386510197085:-74.7413489802915
8648,NJ,Lawrence Township,40.3266799:40.2398109:-74.665966:-74.7630469
8650,NJ,Trenton,40.1971989:40.1890491:-74.6462771:-74.6556919
8666,NJ,Trenton,40.2225113802915:40.2198134197085:-74.7596098197085:-74.7623077802915
8690,NJ,Trenton,40.268249:40.1953928:-74.6263489:-74.6945799
8691,NJ,Trenton,40.2531101:40.1588799:-74.474933:-74.677518
8695,NJ,Trenton,40.2213489802915:40.2186510197085:-74.7386510197085:-74.7413489802915
8701,NJ,Lakewood,40.12028:40.023834:-74.1490829:-74.262529
8720,NJ,Allenwood,40.149799:40.1246299:-74.0855059:-74.114363
8721,NJ,Bayville,39.941275:39.867298:-74.095925:-74.259437
8722,NJ,Beachwood,39.9456681:39.9107819:-74.1782839:-74.2179749
8723,NJ,Brick,40.081587:40.008035:-74.0511199:-74.1619949
8724,NJ,Brick,40.137797:40.0515831:-74.0587718:-74.1550208
8730,NJ,Brielle,40.1209049:40.089168:-74.0428689:-74.0858778
8731,NJ,Forked River,39.946078:39.7964341:-74.0930691:-74.4039349
8732,NJ,Island Heights,39.9522939:39.9330019:-74.125609:-74.1582839
8733,NJ,Lakehurst,40.0413919:40.0037439:-74.2954891:-74.3551809
8734,NJ,Lanoka Harbor,39.9059869:39.76306:-74.0737081:-74.2194489
8735,NJ,Lavallette,40.008035:39.9583019:-74.0538101:-74.099881
8736,NJ,Manasquan,40.1408539:40.0979699:-74.0312809:-74.0970269
8738,NJ,Mantoloking,40.0593158:40.0003321:-74.0401049:-74.0867348
8739,NJ,Normandy Beach,40.0035637802915:40.0008658197085:-74.0597732197085:-74.0624711802915
8740,NJ,Ocean Gate,39.9347561:39.922646:-74.123779:-74.147201
8741,NJ,Pine Beach,39.948063:39.928593:-74.147997:-74.190129
8742,NJ,Point Pleasant Beach,40.105333:40.0566:-74.029107:-74.09518
8750,NJ,Sea Girt,40.1466029:40.117415:-74.02148:-74.0686729
8751,NJ,Seaside Heights,39.961719:39.9260341:-74.062924:-74.1139289
8752,NJ,Seaside Park,39.9375378:39.86358:-74.0666408:-74.101274
8753,NJ,Toms River,40.032486:39.9343239:-74.0867348:-74.213618
8754,NJ,Toms River,39.9542814802915:39.9515835197085:-74.1995136197085:-74.2022115802915
8755,NJ,Toms River,40.0587159:39.9499409:-74.1829471:-74.26899
8756,NJ,Toms River,39.9542814802915:39.9515835197085:-74.1995136197085:-74.2022115802915
8757,NJ,Toms River,40.015495:39.9215899:-74.189313:-74.316287
8758,NJ,Waretown,39.850735:39.7623981:-74.163147:-74.3312331
8759,NJ,Manchester Township,40.053857:39.8538269:-74.23969:-74.4761121
8801,NJ,Annandale,40.690881:40.561006:-74.843029:-74.9345249
8802,NJ,Asbury,40.737429:40.6173659:-74.9750949:-75.07908
8803,NJ,Baptistown,40.5250193802915:40.5223214197085:-75.0046820197085:-75.0073799802915
8804,NJ,Bloomsbury,40.68266:40.611319:-75.0430559:-75.1554593
8805,NJ,Bound Brook,40.5884999:40.554182:-74.5121829:-74.5649739
8807,NJ,Bridgewater,40.642762:40.5476239:-74.544316:-74.6879029
8808,NJ,Broadway,40.7326631802915:40.7299652197085:-75.0501782197085:-75.0528761802915
8809,NJ,Clinton,40.6877039:40.612719:-74.882308:-74.962549
8810,NJ,Dayton,40.397194:40.3461361:-74.460337:-74.532448
8812,NJ,Dunellen,40.622927:40.580725:-74.4523209:-74.517733
8816,NJ,East Brunswick,40.488845:40.371107:-74.3558539:-74.4779301
8817,NJ,Edison,40.549749:40.4778:-74.3575411:-74.436114
8818,NJ,Edison,40.5277730802915:40.5250751197085:-74.3856332197085:-74.3883311802915
8820,NJ,Edison,40.6057311:40.5460098:-74.332087:-74.4044799
8821,NJ,Flagtown,40.520845:40.517439:-74.684373:-74.6887249
8822,NJ,Flemington,40.583246:40.452484:-74.749947:-74.9931199
8823,NJ,Franklin Park,40.460821:40.423908:-74.531476:-74.5930131
8824,NJ,Kendall Park,40.441383:40.3944258:-74.51603:-74.586148
8825,NJ,Frenchtown,40.5715158:40.4512631:-74.9285709:-75.0687979
8826,NJ,Glen Gardner,40.7864249:40.669287:-74.843722:-74.9579469
8827,NJ,Hampton,40.732681:40.597091:-74.931923:-75.015213
8828,NJ,Helmetta,40.38755:40.3664239:-74.4098158:-74.4385949
8829,NJ,High Bridge,40.6839249:40.6538339:-74.8744129:-74.912127
8830,NJ,Iselin,40.585885:40.551522:-74.2944481:-74.337175
8831,NJ,Monroe Township,40.410127:40.2511219:-74.331664:-74.5044351
8832,NJ,Keasbey,40.526935:40.5040784:-74.290018:-74.3288728
8833,NJ,Lebanon,40.7164969:40.571174:-74.737797:-74.890697
8834,NJ,Little York,40.6113489802915:40.6086510197085:-75.0786510197085:-75.0813489802915
8835,NJ,Manville,40.5591219:40.5266911:-74.5643511:-74.607765
8836,NJ,Martinsville,40.6245369:40.5762449:-74.519731:-74.586516
8837,NJ,Edison,40.5662789:40.470628:-74.308861:-74.403548
8840,NJ,Metuchen,40.5550889:40.5276429:-74.3449129:-74.381507
8844,NJ,Hillsborough,40.5647619:40.43138:-74.5721361:-74.8016651
8846,NJ,Middlesex,40.593371:40.5553239:-74.4694459:-74.527025
8848,NJ,Milford,40.633932:40.536544:-75.0123551:-75.1954959
8850,NJ,Milltown,40.468605:40.429801:-74.4155128:-74.461295
8852,NJ,Monmouth Junction,40.4283811:40.357679:-74.4987751:-74.6108971
8853,NJ,Neshanic Station,40.5585639:40.501907:-74.6995:-74.7844031
8854,NJ,Piscataway,40.5971879:40.5055798:-74.4086819:-74.519503
8855,NJ,Piscataway,40.5400481802915:40.5373502197085:-74.4701851197085:-74.4728830802915
8857,NJ,Old Bridge,40.4559859:40.339445:-74.2688419:-74.3900548
8858,NJ,Oldwick,40.6669375802915:40.6642396197085:-74.7467189197085:-74.7494168802915
8859,NJ,Parlin,40.477981:40.4373311:-74.2645309:-74.3440129
8861,NJ,Perth Amboy,40.54573:40.494507:-74.246069:-74.300511
8862,NJ,Perth Amboy,40.5116640802915:40.5089661197085:-74.2695835197085:-74.2722814802915
8863,NJ,Fords,40.5531469:40.498246:-74.2940911:-74.331278
8865,NJ,Phillipsburg,40.79016:40.5917759:-75.060121:-75.2039209
8867,NJ,Pittstown,40.636192:40.5168461:-74.9093911:-75.0592786
8868,NJ,Quakertown,40.5678727802915:40.5651748197085:-74.9417170197085:-74.9444149802915
8869,NJ,Raritan,40.5860441:40.552658:-74.6161239:-74.6620261
8870,NJ,Readington,40.5703648802915:40.5676669197085:-74.7371301197085:-74.7398280802915
8871,NJ,Sayreville,40.4616816802915:40.4589837197085:-74.3595466197085:-74.3622445802915
8872,NJ,Sayreville,40.5082049:40.421003:-74.2943611:-74.3784929
8873,NJ,Somerset,40.556135:40.441383:-74.4590419:-74.591703
8875,NJ,Somerset,40.4976364802915:40.4949385197085:-74.5239536197085:-74.5266515802915
8876,NJ,Somerville,40.634645:40.5362169:-74.666423:-74.7468669
8879,NJ,South Amboy,40.506425:40.4249299:-74.2348838:-74.302865
8880,NJ,South Bound Brook,40.559635:40.5451489:-74.5164749:-74.5448729
8882,NJ,South River,40.4638781:40.4289459:-74.3519009:-74.404088
8884,NJ,Spotswood,40.4134898:40.3793959:-74.365422:-74.413033
8885,NJ,Stanton,40.5769139802915:40.5742160197085:-74.8364859197085:-74.8391838802915
8886,NJ,Stewartsville,40.7382968:40.6531419:-75.062269:-75.16447
8887,NJ,Three Bridges,40.5326139:40.519964:-74.772664:-74.8018029
8888,NJ,Whitehouse,40.6223189:40.618521:-74.7500911:-74.764906
8889,NJ,Whitehouse Station,40.6744039:40.5490419:-74.7129618:-74.826146
8890,NJ,Zarephath,40.5413489802915:40.5386510197085:-74.5786510197085:-74.5813489802915
8899,NJ,Edison,40.5208049302915:40.5181069697085:-74.4174773:-74.4236979
